localized_name,AVG Damage Received,count,winrate,winrate_wilson,sum,min,max,stddev,AVG Damage Dealt,count,winrate,winrate_wilson,sum,min,max,stddev
Arc Warden,57383.562500000000,16,0.4375,0.230983633351855,967770,16261,128438,36188.46789955,60485.625000000000,16,0.4375,0.230983633351855,967770,16261,128438,36188.46789955
Meepo,41835.444444444444,9,0.666666666666667,0.35419734749909,197098,4472,34844,10088.97887273,21899.777777777778,9,0.666666666666667,0.35419734749909,197098,4472,34844,10088.97887273
Bloodseeker,29180.833333333333,6,0.5,0.187612806899409,201936,9605,53730,18202.03990766,33656.000000000000,6,0.5,0.187612806899409,201936,9605,53730,18202.03990766
Underlord,29147.166666666667,6,0.5,0.187612806899409,103685,5574,28101,8131.459584027130,17280.833333333333,6,0.5,0.187612806899409,103685,5574,28101,8131.459584027130
Pudge,28232.000000000000,5,0.2,0.0362231609697875,71750,7482,23270,7610.184393298233,14350.000000000000,5,0.2,0.0362231609697875,71750,7482,23270,7610.184393298233
Wraith King,28057.410256410256,117,0.521367521367521,0.431617812248558,2593112,1584,60623,11713.693657804983,22163.350427350427,117,0.521367521367521,0.431617812248558,2593112,1584,60623,11713.693657804983
Chaos Knight,27604.000000000000,5,0.6,0.230719932208837,97000,8324,25996,7460.803006379407,19400.000000000000,5,0.6,0.230719932208837,97000,8324,25996,7460.803006379407
Clockwerk,27314.875000000000,8,0.125,0.0224169088632962,156359,4677,33933,11227.65206898,19544.875000000000,8,0.125,0.0224169088632962,156359,4677,33933,11227.65206898
Timbersaw,27248.813953488372,43,0.465116279069767,0.325108262639186,987174,8555,43478,8965.254197519170,22957.534883720930,43,0.465116279069767,0.325108262639186,987174,8555,43478,8965.254197519170
Huskar,26120.000000000000,7,0.285714285714286,0.0822171657090155,170466,10973,46257,13158.48132973,24352.285714285714,7,0.285714285714286,0.0822171657090155,170466,10973,46257,13158.48132973
Necrophos,25444.000000000000,14,0.357142857142857,0.163444907372027,286018,8095,38700,8456.950713031108,20429.857142857143,14,0.357142857142857,0.163444907372027,286018,8095,38700,8456.950713031108
Death Prophet,24625.851351351351,74,0.472972972972973,0.363385177902837,1767120,5685,63283,10925.05722627,23880.000000000000,74,0.472972972972973,0.363385177902837,1767120,5685,63283,10925.05722627
Dragon Knight,24131.523809523810,21,0.619047619047619,0.408782958155015,422876,6042,53257,12259.13370298,20136.952380952381,21,0.619047619047619,0.408782958155015,422876,6042,53257,12259.13370298
Slardar,23663.818181818182,11,0.636363636363636,0.353796776891637,169491,5981,25204,6735.874332125104,15408.272727272727,11,0.636363636363636,0.353796776891637,169491,5981,25204,6735.874332125104
Legion Commander,23470.640000000000,25,0.44,0.266653749470026,402646,5256,55513,10373.98062334,16105.840000000000,25,0.44,0.266653749470026,402646,5256,55513,10373.98062334
Drow Ranger,23449.333333333333,3,0,0,59358,14912,25876,5582.232170019445,19786.000000000000,3,0,0,59358,14912,25876,5582.232170019445
Faceless Void,23331.405405405405,37,0.513513513513513,0.358946372259809,883146,5676,73975,14411.71857058,23868.810810810811,37,0.513513513513513,0.358946372259809,883146,5676,73975,14411.71857058
Slark,23181.403508771930,57,0.526315789473684,0.399177944522231,1164598,2821,60402,11900.44257141,20431.543859649123,57,0.526315789473684,0.399177944522231,1164598,2821,60402,11900.44257141
Troll Warlord,23019.083333333333,48,0.4375,0.307010546404109,1274912,4542,98521,18626.23610102,26560.666666666667,48,0.4375,0.307010546404109,1274912,4542,98521,18626.23610102
Doom,23009.535714285714,28,0.428571428571429,0.265082961807312,414263,5489,31751,7186.912226990504,14795.107142857143,28,0.428571428571429,0.265082961807312,414263,5489,31751,7186.912226990504
Weaver,23000.250000000000,12,0.333333333333333,0.138117839897361,362311,8036,47286,11466.37409962,30192.583333333333,12,0.333333333333333,0.138117839897361,362311,8036,47286,11466.37409962
Morphling,22914.754385964912,57,0.508771929824561,0.382596803290324,1493376,2258,61434,14700.18302479,26199.578947368421,57,0.508771929824561,0.382596803290324,1493376,2258,61434,14700.18302479
Bounty Hunter,22689.500000000000,4,0,2.83162371104151e-17,53354,9693,20136,4666.658654755027,13338.500000000000,4,0,2.83162371104151e-17,53354,9693,20136,4666.658654755027
Alchemist,22504.857142857143,49,0.571428571428571,0.432702475170155,1335294,5005,63537,12807.22715280,27250.897959183673,49,0.571428571428571,0.432702475170155,1335294,5005,63537,12807.22715280
Broodmother,22301.800000000000,20,0.5,0.29929491442982,367142,4469,46062,11971.57486848,18357.100000000000,20,0.5,0.29929491442982,367142,4469,46062,11971.57486848
Lifestealer,22197.759036144578,83,0.493975903614458,0.3890868795665,2036254,3441,63296,13869.70275953,24533.180722891566,83,0.493975903614458,0.3890868795665,2036254,3441,63296,13869.70275953
Centaur Warrunner,21971.512820512821,117,0.495726495726496,0.406716224357481,1531135,4093,27646,5531.109824604474,13086.623931623932,117,0.495726495726496,0.406716224357481,1531135,4093,27646,5531.109824604474
Gyrocopter,21915.886075949367,79,0.594936708860759,0.484729528384398,2692327,7361,145475,21240.80137932,34080.088607594937,79,0.594936708860759,0.484729528384398,2692327,7361,145475,21240.80137932
Bristleback,21783.322580645161,31,0.451612903225806,0.291614828365861,753365,6168,39733,9639.423431425895,24302.096774193548,31,0.451612903225806,0.291614828365861,753365,6168,39733,9639.423431425895
Sven,21710.336842105263,95,0.463157894736842,0.366274742065942,2150147,3675,81273,12941.22271118,22633.126315789474,95,0.463157894736842,0.366274742065942,2150147,3675,81273,12941.22271118
Sand King,21666.925925925926,81,0.469135802469136,0.364331919156978,1595035,6419,47303,8237.203648259598,19691.790123456790,81,0.469135802469136,0.364331919156978,1595035,6419,47303,8237.203648259598
Tusk,21589.437500000000,16,0.5,0.279992376113508,190410,3886,36807,8212.121462610418,11900.625000000000,16,0.5,0.279992376113508,190410,3886,36807,8212.121462610418
Tiny,21525.938144329897,97,0.556701030927835,0.457556261772494,1951725,3347,72118,12412.86587264,20120.876288659794,97,0.556701030927835,0.457556261772494,1951725,3347,72118,12412.86587264
Axe,21260.661016949153,59,0.593220338983051,0.465931713655643,1050779,5727,51611,8834.282937305365,17809.813559322034,59,0.593220338983051,0.465931713655643,1050779,5727,51611,8834.282937305365
Enchantress,20977.080000000000,50,0.56,0.423057868001435,1094367,3823,104483,16790.25686936,21887.340000000000,50,0.56,0.423057868001435,1094367,3823,104483,16790.25686936
Mars,20949.173913043478,46,0.5,0.361187016700724,823634,4108,53048,10312.92120234,17905.086956521739,46,0.5,0.361187016700724,823634,4108,53048,10312.92120234
Phantom Lancer,20944.181818181818,11,0.454545454545455,0.21270957543988,248870,6272,46158,14274.67726685,22624.545454545455,11,0.454545454545455,0.21270957543988,248870,6272,46158,14274.67726685
Ogre Magi,20811.328125000000,64,0.4375,0.322938170654273,697737,2943,27349,5772.798641431545,10902.140625000000,64,0.4375,0.322938170654273,697737,2943,27349,5772.798641431545
