localized_name,AVG Deaths,count,winrate,winrate_wilson,sum,min_d,max_d,stddev,AVG Kills,count,winrate,winrate_wilson,sum,min_k,max_k,stddev,AVG Assists,count,winrate,winrate_wilson,sum,min_a,max_a,stddev
Techies,12,3,0,0,25,6,12,3.214550254,6.666666667,3,0,0,25,6,12,3.214550254,8.333333333,3,0,0,25,6,12,3.214550254
Clockwerk,9.25,8,0.125,0.022416909,134,4,32,10.27827112,3.75,8,0.125,0.022416909,134,4,32,10.27827112,16.75,8,0.125,0.022416909,134,4,32,10.27827112
Pudge,8.6,5,0.2,0.036223161,58,4,26,9.423375192,2.8,5,0.2,0.036223161,58,4,26,9.423375192,11.6,5,0.2,0.036223161,58,4,26,9.423375192
Huskar,8.571428571,7,0.285714286,0.082217166,42,1,14,4.898979486,5.285714286,7,0.285714286,0.082217166,42,1,14,4.898979486,6,7,0.285714286,0.082217166,42,1,14,4.898979486
Tusk,7.8125,16,0.5,0.279992376,233,6,25,5.898799313,2.75,16,0.5,0.279992376,233,6,25,5.898799313,14.5625,16,0.5,0.279992376,233,6,25,5.898799313
Vengeful Spirit,7.625,8,0.375,0.136841759,120,5,24,7.250615737,1.25,8,0.375,0.136841759,120,5,24,7.250615737,15,8,0.375,0.136841759,120,5,24,7.250615737
Bounty Hunter,7.5,4,0,2.83E-17,45,4,16,5.5,3.25,4,0,2.83E-17,45,4,16,5.5,11.25,4,0,2.83E-17,45,4,16,5.5
Lich,7.5,10,0.3,0.107789287,96,2,24,8.235424836,1.7,10,0.3,0.107789287,96,2,24,8.235424836,9.6,10,0.3,0.107789287,96,2,24,8.235424836
Silencer,7.393939394,33,0.363636364,0.221869662,440,1,27,6.203157798,3.818181818,33,0.363636364,0.221869662,440,1,27,6.203157798,13.33333333,33,0.363636364,0.221869662,440,1,27,6.203157798
Witch Doctor,7.258064516,31,0.419354839,0.264153031,344,3,24,5.617560792,4.35483871,31,0.419354839,0.264153031,344,3,24,5.617560792,11.09677419,31,0.419354839,0.264153031,344,3,24,5.617560792
Zeus,7.2,5,0,0,70,9,19,3.807886553,5.6,5,0,0,70,9,19,3.807886553,14,5,0,0,70,9,19,3.807886553
Crystal Maiden,7.058823529,68,0.544117647,0.426563978,996,0,31,6.535242475,3.220588235,68,0.544117647,0.426563978,996,0,31,6.535242475,14.64705882,68,0.544117647,0.426563978,996,0,31,6.535242475
Disruptor,6.954545455,22,0.363636364,0.197329728,327,4,32,8.253688668,2.863636364,22,0.363636364,0.197329728,327,4,32,8.253688668,14.86363636,22,0.363636364,0.197329728,327,4,32,8.253688668
Nyx Assassin,6.902439024,41,0.585365854,0.433668354,547,2,24,6.330915242,1.634146341,41,0.585365854,0.433668354,547,2,24,6.330915242,13.34146341,41,0.585365854,0.433668354,547,2,24,6.330915242
Oracle,6.867924528,53,0.490566038,0.361240294,691,2,28,6.092120586,2.943396226,53,0.490566038,0.361240294,691,2,28,6.092120586,13.03773585,53,0.490566038,0.361240294,691,2,28,6.092120586
Viper,6.833333333,6,0.333333333,0.096769333,51,3,14,4.324349662,5.666666667,6,0.333333333,0.096769333,51,3,14,4.324349662,8.5,6,0.333333333,0.096769333,51,3,14,4.324349662
Shadow Shaman,6.802469136,81,0.50617284,0.399505971,1052,2,29,5.69976716,2.234567901,81,0.50617284,0.399505971,1052,2,29,5.69976716,12.98765432,81,0.50617284,0.399505971,1052,2,29,5.69976716
Spirit Breaker,6.766233766,77,0.480519481,0.372528505,1152,2,37,8.076022924,2.818181818,77,0.480519481,0.372528505,1152,2,37,8.076022924,14.96103896,77,0.480519481,0.372528505,1152,2,37,8.076022924
Bane,6.71875,32,0.5625,0.39325302,371,2,28,5.846749166,1.90625,32,0.5625,0.39325302,371,2,28,5.846749166,11.59375,32,0.5625,0.39325302,371,2,28,5.846749166
Shadow Demon,6.694444444,144,0.527777778,0.446578578,1854,1,32,6.701294103,2.638888889,144,0.527777778,0.446578578,1854,1,32,6.701294103,12.875,144,0.527777778,0.446578578,1854,1,32,6.701294103
Sand King,6.666666667,81,0.469135802,0.364331919,1209,1,33,7.737534778,3.395061728,81,0.469135802,0.364331919,1209,1,33,7.737534778,14.92592593,81,0.469135802,0.364331919,1209,1,33,7.737534778
Earth Spirit,6.658536585,41,0.43902439,0.298899048,586,3,31,6.852896842,2.804878049,41,0.43902439,0.298899048,586,3,31,6.852896842,14.29268293,41,0.43902439,0.298899048,586,3,31,6.852896842
Undying,6.4375,16,0.5625,0.331781956,232,2,28,7.465476096,1.9375,16,0.5625,0.331781956,232,2,28,7.465476096,14.5,16,0.5625,0.331781956,232,2,28,7.465476096
Lion,6.428571429,21,0.523809524,0.323692179,252,2,21,5.118593557,3.380952381,21,0.523809524,0.323692179,252,2,21,5.118593557,12,21,0.523809524,0.323692179,252,2,21,5.118593557
Riki,6.4,5,0.6,0.230719932,67,6,20,6.580273551,6.6,5,0.6,0.230719932,67,6,20,6.580273551,13.4,5,0.6,0.230719932,67,6,20,6.580273551
Ancient Apparition,6.323809524,105,0.523809524,0.429136704,1624,3,34,7.398111332,2.99047619,105,0.523809524,0.429136704,1624,3,34,7.398111332,15.46666667,105,0.523809524,0.429136704,1624,3,34,7.398111332
Jakiro,6.297297297,37,0.351351351,0.218254066,440,4,26,5.853696761,2.675675676,37,0.351351351,0.218254066,440,4,26,5.853696761,11.89189189,37,0.351351351,0.218254066,440,4,26,5.853696761
Venomancer,6.111111111,9,0.333333333,0.120581599,90,2,23,8.276472679,3.555555556,9,0.333333333,0.120581599,90,2,23,8.276472679,10,9,0.333333333,0.120581599,90,2,23,8.276472679
Earthshaker,6.068965517,58,0.465517241,0.343318154,817,1,29,6.394308003,3.75862069,58,0.465517241,0.343318154,817,1,29,6.394308003,14.0862069,58,0.465517241,0.343318154,817,1,29,6.394308003
Grimstroke,6.068376068,117,0.444444444,0.357595708,1515,2,29,6.437827533,2.487179487,117,0.444444444,0.357595708,1515,2,29,6.437827533,12.94871795,117,0.444444444,0.357595708,1515,2,29,6.437827533
Ogre Magi,6.046875,64,0.4375,0.322938171,789,0,28,6.480874641,2.171875,64,0.4375,0.322938171,789,0,28,6.480874641,12.328125,64,0.4375,0.322938171,789,0,28,6.480874641
Batrider,5.944444444,36,0.444444444,0.295410299,444,0,28,7.282071919,3.527777778,36,0.444444444,0.295410299,444,0,28,7.282071919,12.33333333,36,0.444444444,0.295410299,444,0,28,7.282071919
Treant Protector,5.88,25,0.68,0.484099137,326,4,24,5.2,2.12,25,0.68,0.484099137,326,4,24,5.2,13.04,25,0.68,0.484099137,326,4,24,5.2
Slardar,5.727272727,11,0.636363636,0.353796777,146,3,20,5.728715547,5.363636364,11,0.636363636,0.353796777,146,3,20,5.728715547,13.27272727,11,0.636363636,0.353796777,146,3,20,5.728715547
Drow Ranger,5.666666667,3,0,0,36,8,20,6.92820323,3,3,0,0,36,8,20,6.92820323,12,3,0,0,36,8,20,6.92820323
Skywrath Mage,5.5,6,0.666666667,0.299988321,76,5,23,7.44759469,6.333333333,6,0.666666667,0.299988321,76,5,23,7.44759469,12.66666667,6,0.666666667,0.299988321,76,5,23,7.44759469
Lina,5.471428571,70,0.4,0.293340806,689,1,31,6.001535345,6.757142857,70,0.4,0.293340806,689,1,31,6.001535345,9.842857143,70,0.4,0.293340806,689,1,31,6.001535345
Nature's Prophet,5.428571429,14,0.571428571,0.325902669,205,3,26,6.697957701,4.857142857,14,0.571428571,0.325902669,205,3,26,6.697957701,14.64285714,14,0.571428571,0.325902669,205,3,26,6.697957701
Elder Titan,5.365853659,82,0.56097561,0.453227271,1314,1,37,7.503045653,2.426829268,82,0.56097561,0.453227271,1314,1,37,7.503045653,16.02439024,82,0.56097561,0.453227271,1314,1,37,7.503045653
Keeper of the Light,5.333333333,6,0.166666667,0.030052586,55,2,20,7.026141663,0.5,6,0.166666667,0.030052586,55,2,20,7.026141663,9.166666667,6,0.166666667,0.030052586,55,2,20,7.026141663
Tiny,5.329896907,97,0.556701031,0.457556262,1136,0,28,5.704455063,5.690721649,97,0.556701031,0.457556262,1136,0,28,5.704455063,11.71134021,97,0.556701031,0.457556262,1136,0,28,5.704455063
Clinkz,5.285714286,7,0.285714286,0.082217166,61,2,15,4.820590756,6.571428571,7,0.285714286,0.082217166,61,2,15,4.820590756,8.714285714,7,0.285714286,0.082217166,61,2,15,4.820590756
