localized_name,AVG Gold Per Min,count,winrate,winrate_wilson,sum,min,max,stddev,AVG XP Per Min,count,winrate,winrate_wilson,sum,min,max,stddev
Alchemist,940.8979592,49,0.571428571,0.432702475,32554,362,896,110.7314119,664.3673469,49,0.571428571,0.432702475,32554,362,896,110.7314119
Anti-Mage,732.6153846,26,0.5,0.320603063,19805,501,1150,150.0585373,761.7307692,26,0.5,0.320603063,19805,501,1150,150.0585373
Naga Siren,725.6176471,34,0.470588235,0.314512516,19542,405,766,85.14232606,574.7647059,34,0.470588235,0.314512516,19542,405,766,85.14232606
Broodmother,722.4,20,0.5,0.299294914,16033,593,992,115.3330532,801.65,20,0.5,0.299294914,16033,593,992,115.3330532
Arc Warden,719.25,16,0.4375,0.230983633,9800,463,825,106.9348711,612.5,16,0.4375,0.230983633,9800,463,825,106.9348711
Terrorblade,703.8461538,13,0.615384615,0.35522481,7813,396,737,100.665287,601,13,0.615384615,0.35522481,7813,396,737,100.665287
Meepo,696.6666667,9,0.666666667,0.354197347,6582,593,888,105.6136828,731.3333333,9,0.666666667,0.354197347,6582,593,888,105.6136828
Templar Assassin,677.969697,33,0.666666667,0.496075818,23780,490,927,103.8261586,720.6060606,33,0.666666667,0.496075818,23780,490,927,103.8261586
Medusa,672.8888889,27,0.518518519,0.339853246,18284,501,854,97.28982753,677.1851852,27,0.518518519,0.339853246,18284,501,854,97.28982753
Sniper,665.6190476,21,0.523809524,0.323692179,13633,449,786,96.26038596,649.1904762,21,0.523809524,0.323692179,13633,449,786,96.26038596
Phantom Lancer,662,11,0.454545455,0.212709575,7351,543,781,79.41170053,668.2727273,11,0.454545455,0.212709575,7351,543,781,79.41170053
Phantom Assassin,655.25,16,0.5,0.279992376,10926,487,936,115.7462022,682.875,16,0.5,0.279992376,10926,487,936,115.7462022
Sven,653.8421053,95,0.463157895,0.366274742,66508,184,972,117.8689917,700.0842105,95,0.463157895,0.366274742,66508,184,972,117.8689917
Wraith King,652.7008547,117,0.521367521,0.431617812,74435,299,901,110.4630723,636.1965812,117,0.521367521,0.431617812,74435,299,901,110.4630723
Tinker,643.1818182,11,0.454545455,0.212709575,6483,306,905,155.1903816,589.3636364,11,0.454545455,0.212709575,6483,306,905,155.1903816
Luna,642,4,0.25,0.045586063,2274,254,685,210.2102122,568.5,4,0.25,0.045586063,2274,254,685,210.2102122
Gyrocopter,636.4810127,79,0.594936709,0.484729528,47526,363,773,106.6998569,601.5949367,79,0.594936709,0.484729528,47526,363,773,106.6998569
Shadow Fiend,626.2777778,18,0.388888889,0.203049919,12049,407,864,113.5689161,669.3888889,18,0.388888889,0.203049919,12049,407,864,113.5689161
